team_name,team_id,espn_url
Ohio Bobcats,195,/college-football/team/_/id/195/ohio-bobcats
Sacramento State Hornets,16,/college-football/team/_/id/16/sacramento-state-hornets
Toledo Rockets,2649,/college-football/team/_/id/2649/toledo-rockets
Western Michigan Broncos,2711,/college-football/team/_/id/2711/western-michigan-broncos
Air Force Falcons,2005,/college-football/team/_/id/2005/air-force-falcons
Hawai'i Rainbow Warriors,62,/college-football/team/_/id/62/hawaii-rainbow-warriors
Nevada Wolf Pack,2440,/college-football/team/_/id/2440/nevada-wolf-pack
New Mexico Lobos,167,/college-football/team/_/id/167/new-mexico-lobos
North Dakota State Bison,2449,/college-football/team/_/id/2449/north-dakota-state-bison
Northern Illinois Huskies,2459,/college-football/team/_/id/2459/northern-illinois-huskies
San José State Spartans,23,/college-football/team/_/id/23/san-jose-state-spartans
UNLV Rebels,2439,/college-football/team/_/id/2439/unlv-rebels
UTEP Miners,2638,/college-football/team/_/id/2638/utep-miners
Wyoming Cowboys,2751,/college-football/team/_/id/2751/wyoming-cowboys
Boise State Broncos,68,/college-football/team/_/id/68/boise-state-broncos
Colorado State Rams,36,/college-football/team/_/id/36/colorado-state-rams
Fresno State Bulldogs,278,/college-football/team/_/id/278/fresno-state-bulldogs
Oregon State Beavers,204,/college-football/team/_/id/204/oregon-state-beavers
San Diego State Aztecs,21,/college-football/team/_/id/21/san-diego-state-aztecs
Texas State Bobcats,326,/college-football/team/_/id/326/texas-state-bobcats
Utah State Aggies,328,/college-football/team/_/id/328/utah-state-aggies
Washington State Cougars,265,/college-football/team/_/id/265/washington-state-cougars
Alabama Crimson Tide,333,/college-football/team/_/id/333/alabama-crimson-tide
Arkansas Razorbacks,8,/college-football/team/_/id/8/arkansas-razorbacks
Auburn Tigers,2,/college-football/team/_/id/2/auburn-tigers
Florida Gators,57,/college-football/team/_/id/57/florida-gators
Georgia Bulldogs,61,/college-football/team/_/id/61/georgia-bulldogs
Kentucky Wildcats,96,/college-football/team/_/id/96/kentucky-wildcats
LSU Tigers,99,/college-football/team/_/id/99/lsu-tigers
Mississippi State Bulldogs,344,/college-football/team/_/id/344/mississippi-state-bulldogs
Missouri Tigers,142,/college-football/team/_/id/142/missouri-tigers
Oklahoma Sooners,201,/college-football/team/_/id/201/oklahoma-sooners
Ole Miss Rebels,145,/college-football/team/_/id/145/ole-miss-rebels
South Carolina Gamecocks,2579,/college-football/team/_/id/2579/south-carolina-gamecocks
Tennessee Volunteers,2633,/college-football/team/_/id/2633/tennessee-volunteers
Texas A&M Aggies,245,/college-football/team/_/id/245/texas-am-aggies
Texas Longhorns,251,/college-football/team/_/id/251/texas-longhorns
Vanderbilt Commodores,238,/college-football/team/_/id/238/vanderbilt-commodores
App State Mountaineers,2026,/college-football/team/_/id/2026/app-state-mountaineers
Arkansas State Red Wolves,2032,/college-football/team/_/id/2032/arkansas-state-red-wolves
Coastal Carolina Chanticleers,324,/college-football/team/_/id/324/coastal-carolina-chanticleers
Georgia Southern Eagles,290,/college-football/team/_/id/290/georgia-southern-eagles
Georgia State Panthers,2247,/college-football/team/_/id/2247/georgia-state-panthers
James Madison Dukes,256,/college-football/team/_/id/256/james-madison-dukes
Louisiana Ragin' Cajuns,309,/college-football/team/_/id/309/louisiana-ragin-cajuns
Marshall Thundering Herd,276,/college-football/team/_/id/276/marshall-thundering-herd
Old Dominion Monarchs,295,/college-football/team/_/id/295/old-dominion-monarchs
South Alabama Jaguars,6,/college-football/team/_/id/6/south-alabama-jaguars
Southern Miss Golden Eagles,2572,/college-football/team/_/id/2572/southern-miss-golden-eagles
Troy Trojans,2653,/college-football/team/_/id/2653/troy-trojans
UL Monroe Warhawks,2433,/college-football/team/_/id/2433/ul-monroe-warhawks
