athlete_id,true_label,rf_pred,rf_pred_proba,xgb_pred,xgb_pred_proba,model_set
107494,0,0,0.1843090914129765,0,0.03817106,Model_D
184812,0,0,0.02844784483246692,0,0.0022660624,Model_D
191729,0,0,0.05882886425474207,0,0.0035179697,Model_D
233186,0,0,0.024173287960706488,0,0.001389217,Model_D
479316,0,0,0.07296423456926336,0,0.0019699559,Model_D
516533,0,0,0.026780873784551063,0,0.0033407898,Model_D
529961,0,0,0.051559547011691506,0,0.0079255225,Model_D
530452,0,0,0.07495737615186868,0,0.016258223,Model_D
530478,0,0,0.2266001388948569,0,0.05681832,Model_D
530622,0,0,0.3741623979097797,0,0.12683661,Model_D
531643,0,0,0.49322974680749193,0,0.07365367,Model_D
537873,0,1,0.6653331075951047,0,0.2103872,Model_D
538251,0,0,0.09338657728073516,0,0.017116368,Model_D
538261,0,0,0.0431386630389576,0,0.010113924,Model_D
545220,0,0,0.178987800304072,0,0.021608425,Model_D
545245,0,0,0.2179780533822049,0,0.05523384,Model_D
545295,0,0,0.0669383388039948,0,0.005640296,Model_D
545303,0,0,0.14688977422254745,0,0.024486933,Model_D
545304,0,1,0.5067557279321805,0,0.09489745,Model_D
545343,0,0,0.22426867232113742,0,0.035540223,Model_D
545350,0,0,0.08085666530109355,0,0.010657724,Model_D
545351,0,0,0.4404089018116907,0,0.1301033,Model_D
545365,0,0,0.16126196853081598,0,0.02110246,Model_D
545372,0,0,0.20731246480819412,0,0.048715625,Model_D
545382,0,1,0.700082408522693,0,0.15168105,Model_D
545384,0,1,0.520976931017523,0,0.18711455,Model_D
545408,0,0,0.26074907787634527,0,0.038712405,Model_D
545449,0,0,0.1605822559872156,0,0.026565934,Model_D
545514,0,0,0.3273517314476407,0,0.03574149,Model_D
545531,0,0,0.10990903768757042,0,0.03040384,Model_D
545540,0,0,0.09715159078964168,0,0.011787609,Model_D
545612,0,0,0.16678943242671504,0,0.028680338,Model_D
545645,0,0,0.12233640855367714,0,0.027276287,Model_D
545682,0,0,0.38219265278665915,0,0.04279988,Model_D
545701,0,0,0.1476417277882821,0,0.026272548,Model_D
545706,0,0,0.19693748919650145,0,0.0067801247,Model_D
545763,0,1,0.5558062501731992,0,0.11660196,Model_D
545769,0,1,0.5046265112885834,0,0.04870884,Model_D
545816,0,0,0.3273710702108696,0,0.06516219,Model_D
545919,0,0,0.40009633998235855,0,0.03257123,Model_D
545991,0,0,0.048401654200056286,0,0.01514777,Model_D
546007,0,0,0.3407037167694382,0,0.047973163,Model_D
546018,0,0,0.14404801595358577,0,0.010093316,Model_D
546039,0,0,0.32512794456290495,0,0.12269919,Model_D
546055,0,0,0.1560554228574046,0,0.03783011,Model_D
546073,0,0,0.35596916261502975,0,0.069064505,Model_D
546102,0,0,0.4293904339044584,0,0.045502078,Model_D
546261,0,0,0.06647941413608079,0,0.012050645,Model_D
546324,0,1,0.5455885463425527,0,0.44227353,Model_D
546339,0,0,0.26982560249745874,0,0.06981417,Model_D
546345,0,0,0.31292126494376427,0,0.21119358,Model_D
546350,0,0,0.18249645493539784,0,0.013891539,Model_D
546354,0,0,0.12016854748026709,0,0.015722914,Model_D
546392,0,0,0.4018470956032514,0,0.14933217,Model_D
546404,0,0,0.39198209718466276,0,0.023869429,Model_D
546447,0,0,0.12718176363368686,0,0.028714113,Model_D
546475,0,0,0.3957326543255077,0,0.13949475,Model_D
546490,0,0,0.25162893189119173,0,0.044460937,Model_D
546493,0,1,0.6511941704525438,0,0.19055527,Model_D
546519,0,0,0.4120878006367402,0,0.045741346,Model_D
546537,0,0,0.10609769564258359,0,0.006493845,Model_D
546546,0,1,0.5417870960831082,0,0.25328746,Model_D
546552,0,0,0.28855164792593746,0,0.082020946,Model_D
546590,0,0,0.11012833444762547,0,0.01975666,Model_D
546693,0,0,0.34655637818886753,0,0.12642457,Model_D
546728,0,1,0.7466744750530565,1,0.5451648,Model_D
546764,0,0,0.39033222523438377,0,0.14752555,Model_D
546778,0,1,0.7035951745026199,0,0.32879937,Model_D
546804,0,0,0.06150159486912271,0,0.0023253188,Model_D
546824,0,1,0.5338088209482748,0,0.21854168,Model_D
546830,0,1,0.5407538137259423,0,0.1867857,Model_D
546846,0,0,0.31938547115810345,0,0.08442555,Model_D
546848,0,0,0.47319073425708263,0,0.10705015,Model_D
546853,0,0,0.39071605410059634,0,0.13416658,Model_D
546876,0,0,0.368970104617761,0,0.0873496,Model_D
546882,0,0,0.1811359756035822,0,0.013119159,Model_D
546900,0,0,0.09636162215377392,0,0.032089148,Model_D
546989,0,0,0.09724750993247787,0,0.025871145,Model_D
547030,1,0,0.40452971890100103,0,0.13660824,Model_D
547063,0,0,0.039903015568344025,0,0.01296069,Model_D
547090,0,0,0.045785199250398756,0,0.0009904847,Model_D
547091,0,0,0.05444552047888193,0,0.0032771758,Model_D
547188,0,0,0.3046139951274839,0,0.022963185,Model_D
547193,0,0,0.3006975507068377,0,0.06296224,Model_D
547253,1,1,0.5639913505221554,0,0.48772666,Model_D
547259,1,1,0.6580353216647268,0,0.17874952,Model_D
547327,0,0,0.28967811294802087,0,0.10420972,Model_D
547359,0,0,0.04415788340502396,0,0.004222834,Model_D
547415,0,0,0.025026903768498036,0,0.0033546998,Model_D
