athlete_id,true_label,rf_pred,rf_pred_proba,xgb_pred,xgb_pred_proba,model_set
107494,0,0,0.24798648749630622,0,0.037621807,Model_B
184812,0,0,0.05978374244473037,0,0.005446198,Model_B
191729,0,0,0.08455686821403069,0,0.013579741,Model_B
233186,0,0,0.09569186166180371,0,0.00973223,Model_B
479316,0,0,0.2384056137373268,0,0.049125396,Model_B
516533,0,0,0.1589053860497997,0,0.022158388,Model_B
529961,0,0,0.19902658946339458,0,0.028619524,Model_B
530452,0,1,0.5132937140857965,0,0.10844787,Model_B
530478,0,0,0.4844997107866569,0,0.21688037,Model_B
530622,0,0,0.34009201733793387,0,0.0829159,Model_B
531643,0,1,0.7096094155652787,0,0.20596083,Model_B
537873,0,1,0.5417669720823539,0,0.23523614,Model_B
538251,0,0,0.2931691818825085,0,0.051163707,Model_B
538261,0,0,0.17605823615098237,0,0.027813321,Model_B
545220,0,1,0.636067207112006,0,0.17812513,Model_B
545245,0,1,0.5735874518024228,0,0.32323462,Model_B
545295,0,0,0.09937054333573091,0,0.014575481,Model_B
545303,0,0,0.2500092119656143,0,0.029079588,Model_B
545304,0,0,0.2987592804368777,0,0.09086429,Model_B
545343,0,0,0.2652448952632368,0,0.050690908,Model_B
545350,0,0,0.31133613007090577,0,0.0767273,Model_B
545351,0,0,0.41177270211091604,0,0.1424815,Model_B
545365,0,0,0.20280813713506615,0,0.013048568,Model_B
545372,0,0,0.1299108894867936,0,0.023316702,Model_B
545382,0,1,0.591290970018158,0,0.31948882,Model_B
545384,0,1,0.7452244269341456,0,0.32222512,Model_B
545408,0,1,0.5572616174506912,0,0.14092126,Model_B
545449,0,0,0.2565798381776309,0,0.051499613,Model_B
545514,0,1,0.772671487751809,0,0.26434338,Model_B
545531,0,0,0.19828587086738397,0,0.032939702,Model_B
545540,0,0,0.18291559965456475,0,0.04955539,Model_B
545612,0,0,0.38919336685067973,0,0.084066294,Model_B
545645,0,0,0.34393594660406607,0,0.1860123,Model_B
545682,0,0,0.3041196209114681,0,0.16298738,Model_B
545701,0,0,0.36585002328251615,0,0.075019814,Model_B
545706,0,0,0.16503578110949305,0,0.022710681,Model_B
545763,0,0,0.43211364381212564,0,0.03399955,Model_B
545769,0,1,0.5270755300624542,0,0.08057742,Model_B
545816,0,1,0.6760428623523151,0,0.27631888,Model_B
545919,0,0,0.34182263387659445,0,0.049292255,Model_B
545991,0,0,0.10066587793471722,0,0.013403388,Model_B
546007,0,1,0.6479246182255521,0,0.24058488,Model_B
546018,0,0,0.1989636046023038,0,0.024968153,Model_B
546039,0,1,0.6959226125110243,0,0.46644306,Model_B
546055,0,0,0.3623852305467718,0,0.103059925,Model_B
546073,0,0,0.1862318617685905,0,0.024416428,Model_B
546102,0,0,0.3027883415194832,0,0.06924456,Model_B
546261,0,0,0.16082837922551468,0,0.03743703,Model_B
546324,0,1,0.5280096057477406,0,0.18143135,Model_B
546339,0,0,0.3172079431390359,0,0.16653635,Model_B
546345,0,0,0.19910945958306528,0,0.097179994,Model_B
546350,0,0,0.39014368570251406,0,0.18153185,Model_B
546354,0,0,0.1109934458440953,0,0.016938757,Model_B
546392,0,1,0.6154624328191712,0,0.32319734,Model_B
546404,0,0,0.2425113659504271,0,0.038891006,Model_B
546447,0,0,0.18728534835178035,0,0.035272807,Model_B
546475,0,0,0.3257752204034763,0,0.10443151,Model_B
546490,0,0,0.430885138248582,0,0.124187335,Model_B
546493,0,1,0.6236051163484642,0,0.13450569,Model_B
546519,0,1,0.583507567201217,0,0.11277771,Model_B
546537,0,0,0.19778672329610847,0,0.020389063,Model_B
546546,0,0,0.4151278315297598,0,0.059824258,Model_B
546552,0,0,0.3867447012073218,0,0.069155246,Model_B
546590,0,0,0.25854924453099026,0,0.051499613,Model_B
546693,0,0,0.379168381973695,0,0.16729504,Model_B
546728,0,1,0.5525983543673719,0,0.28613824,Model_B
546764,0,1,0.5818877071117731,0,0.24790917,Model_B
546778,0,1,0.6642039281727122,0,0.2657766,Model_B
546804,0,0,0.04362810057088301,0,0.0041067707,Model_B
546824,0,1,0.5030186612172973,0,0.17457753,Model_B
546830,0,1,0.5237346381440507,0,0.13338849,Model_B
546846,0,0,0.3998297935842814,0,0.12032507,Model_B
546848,0,0,0.25060430327621697,0,0.06237959,Model_B
546853,0,1,0.514327181096098,0,0.17550182,Model_B
546876,0,0,0.2484425740352027,0,0.049988203,Model_B
546882,0,0,0.08467529946164239,0,0.003841157,Model_B
546900,0,1,0.514327181096098,0,0.17550182,Model_B
